Гречани, 49.441057, 26.939121
Гречаны, 49.441057, 26.939121
Дубово, 49.407410, 26.988779
Дубове, 49.407410, 26.988779
Заріччя, 49.434445, 26.994230
Заречанская, 49.434445, 26.994230
Книжківці, 49.388768, 27.030831
Книжковцы, 49.388768, 27.030831
Лезневе, 49.434187, 27.057880
Лезнево, 49.434187, 27.057880
Озерна, 49.451916, 27.010845
Озерная, 49.451916, 27.010845
Отрадне, 49.448596, 26.992989
Отрадное, 49.448596, 26.992989
Південно-Західний, 49.410187, 26.949592
ЮгоЗапад, 49.410187, 26.949592
Ракове, 49.396370, 27.053360
Раково, 49.396370, 27.053360
Ружична, 49.389633, 26.974742
Ружичная, 49.389633, 26.974742
Центральний, 49.420704, 26.977334
Центр, 49.420704, 26.977334
